site_id,business_date,dow,is_holiday,festival,weather_code,temp_max_c,promo_flag,covers
SITE_KIT_01,2025-11-15,5,0,weekend_special,clear,31.1,0,270
SITE_KIT_01,2025-11-16,6,0,,clear,31.7,0,252
SITE_KIT_01,2025-11-17,0,0,,clear,27.3,1,167
SITE_KIT_01,2025-11-18,1,0,,clear,30.5,1,158
SITE_KIT_01,2025-11-19,2,0,,clear,30.2,1,164
SITE_KIT_01,2025-11-20,3,0,,clear,31.5,0,188
SITE_KIT_01,2025-11-21,4,0,,clear,30.1,0,255
SITE_KIT_01,2025-11-22,5,0,,cloudy,30.7,0,269
SITE_KIT_01,2025-11-23,6,0,,rain,30.4,0,215
SITE_KIT_01,2025-11-24,0,0,,clear,31.1,1,168
SITE_KIT_01,2025-11-25,1,0,,clear,29.3,1,159
SITE_KIT_01,2025-11-26,2,0,,clear,31.5,1,168
SITE_KIT_01,2025-11-27,3,0,,cloudy,28.7,0,185
SITE_KIT_01,2025-11-28,4,0,,rain,30.1,0,227
SITE_KIT_01,2025-11-29,5,0,,clear,29.8,0,265
SITE_KIT_01,2025-11-30,6,0,,clear,32.5,0,259
SITE_KIT_01,2025-12-01,0,0,,clear,28.2,1,176
SITE_KIT_01,2025-12-02,1,0,,cloudy,29.9,1,179
SITE_KIT_01,2025-12-03,2,0,,clear,28.6,1,171
SITE_KIT_01,2025-12-04,3,0,,clear,27.4,0,199
SITE_KIT_01,2025-12-05,4,0,,clear,29.8,0,255
SITE_KIT_01,2025-12-06,5,0,,cloudy,26.6,0,278
SITE_KIT_01,2025-12-07,6,0,,clear,27.3,0,252
SITE_KIT_01,2025-12-08,0,0,,cloudy,28.5,1,167
SITE_KIT_01,2025-12-09,1,0,,cloudy,29.6,1,172
SITE_KIT_01,2025-12-10,2,0,,rain,29.2,1,161
SITE_KIT_01,2025-12-11,3,0,,clear,28.5,0,183
SITE_KIT_01,2025-12-12,4,0,,clear,25.6,0,263
SITE_KIT_01,2025-12-13,5,0,,clear,27.1,0,281
SITE_KIT_01,2025-12-14,6,0,,cloudy,27.3,0,263
SITE_KIT_01,2025-12-15,0,0,,clear,26.3,1,172
SITE_KIT_01,2025-12-16,1,0,,clear,24.9,1,171
SITE_KIT_01,2025-12-17,2,0,,clear,27.8,1,177
SITE_KIT_01,2025-12-18,3,0,,cloudy,28.6,0,199
SITE_KIT_01,2025-12-19,4,0,,clear,26.8,0,256
SITE_KIT_01,2025-12-20,5,0,,clear,28.6,0,289
SITE_KIT_01,2025-12-21,6,0,,cloudy,25.2,0,257
SITE_KIT_01,2025-12-22,0,0,,cloudy,25.7,1,169
SITE_KIT_01,2025-12-23,1,0,,clear,27.3,1,173
SITE_KIT_01,2025-12-24,2,0,christmas_eve,clear,26.3,1,221
SITE_KIT_01,2025-12-25,3,1,christmas,clear,28.0,0,280
SITE_KIT_01,2025-12-26,4,0,,cloudy,27.6,0,265
SITE_KIT_01,2025-12-27,5,0,,cloudy,26.3,0,263
SITE_KIT_01,2025-12-28,6,0,,clear,24.9,0,253
SITE_KIT_01,2025-12-29,0,0,,clear,26.0,1,153
SITE_KIT_01,2025-12-30,1,0,,clear,27.5,1,174
SITE_KIT_01,2025-12-31,2,0,new_year_eve,clear,27.7,1,280
SITE_KIT_01,2026-01-01,3,1,new_year,clear,26.2,0,255
SITE_KIT_01,2026-01-02,4,0,,cloudy,24.1,0,257
SITE_KIT_01,2026-01-03,5,0,,clear,24.6,0,283
SITE_KIT_01,2026-01-04,6,0,,clear,27.4,0,255
SITE_KIT_01,2026-01-05,0,0,,clear,26.1,1,176
SITE_KIT_01,2026-01-06,1,0,,clear,26.1,1,172
SITE_KIT_01,2026-01-07,2,0,,cloudy,25.1,1,182
SITE_KIT_01,2026-01-08,3,0,,clear,25.1,0,201
SITE_KIT_01,2026-01-09,4,0,,cloudy,27.9,0,255
SITE_KIT_01,2026-01-10,5,0,,clear,27.2,0,289
SITE_KIT_01,2026-01-11,6,0,,clear,25.6,0,266
SITE_KIT_01,2026-01-12,0,0,,clear,26.6,1,168
SITE_KIT_01,2026-01-13,1,0,,clear,26.9,1,169
SITE_KIT_01,2026-01-14,2,1,makar_sankranti,clear,29.1,1,241
SITE_KIT_01,2026-01-15,3,0,pongal,clear,24.9,0,232
SITE_KIT_01,2026-01-16,4,0,,clear,26.9,0,258
SITE_KIT_01,2026-01-17,5,0,,cloudy,27.8,0,291
SITE_KIT_01,2026-01-18,6,0,,clear,28.9,0,270
SITE_KIT_01,2026-01-19,0,0,,clear,25.5,1,168
SITE_KIT_01,2026-01-20,1,0,,clear,25.9,1,174
SITE_KIT_01,2026-01-21,2,0,,rain,27.6,1,180
SITE_KIT_01,2026-01-22,3,0,,clear,24.2,0,210
SITE_KIT_01,2026-01-23,4,0,,cloudy,27.1,0,263
SITE_KIT_01,2026-01-24,5,0,,clear,29.8,0,288
