batch_id,site_id,product_id,lot_code,received_at,printed_expiry,qty_received,uom,storage_zone_id,dock_dwell_hours,intake_grade,unit_cost,state
B00001,SITE_KIT_01,ING_TOMATO,LOT-B00001,2025-11-15T07:00:00,2025-11-22,67.0,kg,ZN_COLD,0.5,0.97,32.0,whole
B00002,SITE_KIT_01,ING_ONION,LOT-B00002,2025-11-15T07:00:00,2025-12-15,176.0,kg,ZN_DRY,0.5,0.919,38.0,whole
B00003,SITE_KIT_01,ING_POTATO,LOT-B00003,2025-11-15T07:00:00,2025-12-15,72.0,kg,ZN_DRY,0.5,0.954,28.0,whole
B00004,SITE_KIT_01,ING_CAULI,LOT-B00004,2025-11-15T07:00:00,2025-11-25,80.0,kg,ZN_COLD,0.5,1.0,40.0,whole
B00005,SITE_KIT_01,ING_SPINACH,LOT-B00005,2025-11-15T07:00:00,2025-11-19,15.0,kg,ZN_COLD,0.5,0.98,30.0,whole
B00006,SITE_KIT_01,ING_CORIANDER,LOT-B00006,2025-11-15T07:00:00,2025-11-18,2.0,kg,ZN_COLD,0.5,0.943,60.0,whole
B00007,SITE_KIT_01,ING_GCHILLI,LOT-B00007,2025-11-15T07:00:00,2025-11-22,5.0,kg,ZN_COLD,0.5,0.882,70.0,whole
B00008,SITE_KIT_01,ING_GINGER,LOT-B00008,2025-11-15T07:00:00,2025-12-15,6.0,kg,ZN_DRY,0.5,0.979,120.0,whole
B00009,SITE_KIT_01,ING_GARLIC,LOT-B00009,2025-11-15T07:00:00,2025-12-15,10.0,kg,ZN_DRY,0.5,0.96,180.0,whole
B00010,SITE_KIT_01,ING_CARROT,LOT-B00010,2025-11-15T07:00:00,2025-11-25,18.0,kg,ZN_COLD,0.5,0.91,45.0,whole
B00011,SITE_KIT_01,ING_CAPSICUM,LOT-B00011,2025-11-15T07:00:00,2025-11-22,13.0,kg,ZN_COLD,0.5,0.822,80.0,whole
B00012,SITE_KIT_01,ING_CABBAGE,LOT-B00012,2025-11-15T07:00:00,2025-11-25,9.0,kg,ZN_COLD,0.5,0.957,25.0,whole
B00013,SITE_KIT_01,ING_BRINJAL,LOT-B00013,2025-11-15T07:00:00,2025-11-22,11.0,kg,ZN_COLD,0.5,0.925,40.0,whole
