site_id,batch_id,product_id,ts,type,qty,uom,ref
SITE_KIT_01,B00001,ING_TOMATO,2025-11-15T07:00:00,receive,67.0,kg,LOT-B00001
SITE_KIT_01,B00002,ING_ONION,2025-11-15T07:00:00,receive,176.0,kg,LOT-B00002
SITE_KIT_01,B00003,ING_POTATO,2025-11-15T07:00:00,receive,72.0,kg,LOT-B00003
SITE_KIT_01,B00004,ING_CAULI,2025-11-15T07:00:00,receive,80.0,kg,LOT-B00004
SITE_KIT_01,B00005,ING_SPINACH,2025-11-15T07:00:00,receive,15.0,kg,LOT-B00005
SITE_KIT_01,B00006,ING_CORIANDER,2025-11-15T07:00:00,receive,2.0,kg,LOT-B00006
SITE_KIT_01,B00007,ING_GCHILLI,2025-11-15T07:00:00,receive,5.0,kg,LOT-B00007
SITE_KIT_01,B00008,ING_GINGER,2025-11-15T07:00:00,receive,6.0,kg,LOT-B00008
SITE_KIT_01,B00009,ING_GARLIC,2025-11-15T07:00:00,receive,10.0,kg,LOT-B00009
SITE_KIT_01,B00010,ING_CARROT,2025-11-15T07:00:00,receive,18.0,kg,LOT-B00010
SITE_KIT_01,B00011,ING_CAPSICUM,2025-11-15T07:00:00,receive,13.0,kg,LOT-B00011
SITE_KIT_01,B00012,ING_CABBAGE,2025-11-15T07:00:00,receive,9.0,kg,LOT-B00012
SITE_KIT_01,B00013,ING_BRINJAL,2025-11-15T07:00:00,receive,11.0,kg,LOT-B00013
SITE_KIT_01,B00014,ING_OKRA,2025-11-15T07:00:00,receive,20.0,kg,LOT-B00014
SITE_KIT_01,B00015,ING_PEAS,2025-11-15T07:00:00,receive,8.969,kg,LOT-B00015
SITE_KIT_01,B00016,ING_MINT,2025-11-15T07:00:00,receive,1.106,kg,LOT-B00016
SITE_KIT_01,B00017,ING_CURRYLEAF,2025-11-15T07:00:00,receive,0.75,kg,LOT-B00017
SITE_KIT_01,B00018,ING_LEMON,2025-11-15T07:00:00,receive,7.0,kg,LOT-B00018
SITE_KIT_01,B00019,ING_BEANS,2025-11-15T07:00:00,receive,14.0,kg,LOT-B00019
SITE_KIT_01,B00020,ING_MUSHROOM,2025-11-15T07:00:00,receive,4.0,kg,LOT-B00020
SITE_KIT_01,B00021,ING_CUCUMBER,2025-11-15T07:00:00,receive,13.0,kg,LOT-B00021
SITE_KIT_01,B00022,ING_BANANA,2025-11-15T07:00:00,receive,10.866,kg,LOT-B00022
SITE_KIT_01,B00023,ING_CHICKEN,2025-11-15T07:00:00,receive,38.0,kg,LOT-B00023
SITE_KIT_01,B00024,ING_MUTTON,2025-11-15T07:00:00,receive,23.0,kg,LOT-B00024
SITE_KIT_01,B00025,ING_FISH,2025-11-15T07:00:00,receive,17.0,kg,LOT-B00025
SITE_KIT_01,B00026,ING_EGG,2025-11-15T07:00:00,receive,7.0,kg,LOT-B00026
SITE_KIT_01,B00027,ING_PANEER,2025-11-15T07:00:00,receive,35.0,kg,LOT-B00027
SITE_KIT_01,B00028,ING_CURD,2025-11-15T07:00:00,receive,33.0,kg,LOT-B00028
SITE_KIT_01,B00029,ING_MILK,2025-11-15T07:00:00,receive,7.0,kg,LOT-B00029
SITE_KIT_01,B00030,ING_CREAM,2025-11-15T07:00:00,receive,8.0,kg,LOT-B00030
SITE_KIT_01,B00031,ING_BUTTER,2025-11-15T07:00:00,receive,8.0,kg,LOT-B00031
SITE_KIT_01,B00032,ING_GHEE,2025-11-15T07:00:00,receive,40.0,kg,LOT-B00032
