batch_id,site_id,product_id,qty_remaining,uom,storage_zone_id,received_at,printed_expiry,intake_grade,life_used,rsl_days,unit_cost,value_on_hand,state
B01609,SITE_KIT_01,ING_TOMATO,19.997,kg,ZN_COLD,2026-02-09T07:00:00,2026-02-16,0.913,0.508,3.44,32.0,639.91,whole
B01642,SITE_KIT_01,ING_TOMATO,3.259,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-18,0.959,0.1858,5.7,32.0,104.3,whole
B01565,SITE_KIT_01,ING_ONION,16.525,kg,ZN_DRY,2026-02-07T07:00:00,2026-03-09,0.878,0.3645,19.06,38.0,627.94,whole
B01643,SITE_KIT_01,ING_ONION,86.468,kg,ZN_DRY,2026-02-11T07:00:00,2026-03-13,0.889,0.0736,27.79,38.0,3285.77,whole
B01644,SITE_KIT_01,ING_POTATO,39.924,kg,ZN_DRY,2026-02-11T07:00:00,2026-03-13,0.936,0.0699,27.9,28.0,1117.89,whole
B01610,SITE_KIT_01,ING_CAULI,18.232,kg,ZN_COLD,2026-02-09T07:00:00,2026-02-19,0.849,0.3739,6.26,40.0,729.28,whole
B01645,SITE_KIT_01,ING_CAULI,13.925,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-21,0.879,0.1336,8.66,40.0,557.0,whole
B01646,SITE_KIT_01,ING_SPINACH,5.419,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-15,0.876,0.3812,2.48,30.0,162.56,whole
B01674,SITE_KIT_01,ING_SPINACH,23.4,kg,ZN_COLD,2026-02-12T07:00:00,2026-02-16,0.842,0.7977,0.81,30.0,702.0,whole
B01647,SITE_KIT_01,ING_CORIANDER,0.873,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-14,0.956,0.4899,1.53,60.0,52.36,whole
B01675,SITE_KIT_01,ING_CORIANDER,2.0,kg,ZN_COLD,2026-02-12T07:00:00,2026-02-15,0.953,0.1415,2.58,60.0,120.0,whole
B01570,SITE_KIT_01,ING_GCHILLI,0.451,kg,ZN_COLD,2026-02-07T07:00:00,2026-02-14,0.894,0.8386,1.13,70.0,31.54,whole
B01648,SITE_KIT_01,ING_GCHILLI,2.449,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-18,0.966,0.1845,5.71,70.0,171.45,whole
B01571,SITE_KIT_01,ING_GINGER,0.744,kg,ZN_DRY,2026-02-07T07:00:00,2026-03-09,0.886,0.3613,19.16,120.0,89.34,whole
B01649,SITE_KIT_01,ING_GINGER,4.434,kg,ZN_DRY,2026-02-11T07:00:00,2026-03-13,0.963,0.0679,27.96,120.0,532.11,whole
B01650,SITE_KIT_01,ING_GARLIC,5.776,kg,ZN_DRY,2026-02-11T07:00:00,2026-03-13,0.991,0.066,28.02,180.0,1039.73,whole
B01651,SITE_KIT_01,ING_CARROT,6.922,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-21,0.962,0.1221,8.78,45.0,311.49,whole
B01652,SITE_KIT_01,ING_CAPSICUM,3.975,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-18,1.0,0.1782,5.75,80.0,317.97,whole
B01653,SITE_KIT_01,ING_CABBAGE,2.721,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-21,0.963,0.1221,8.78,25.0,68.04,whole
B01617,SITE_KIT_01,ING_BRINJAL,2.295,kg,ZN_COLD,2026-02-09T07:00:00,2026-02-16,0.955,0.486,3.6,40.0,91.81,whole
B01654,SITE_KIT_01,ING_BRINJAL,5.604,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-18,0.893,0.1996,5.6,40.0,224.17,whole
B01655,SITE_KIT_01,ING_OKRA,4.555,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-18,0.871,0.2046,5.57,55.0,250.51,whole
B01578,SITE_KIT_01,ING_PEAS,0.304,kg,ZN_COLD,2026-02-07T07:00:00,2026-02-14,0.959,0.7818,1.53,90.0,27.36,whole
