production_id,site_id,product_id,business_date,planned_qty,actual_qty,uom
P_2025-11-15_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-15,76,75,portion
P_2025-11-15_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-15,48,48,portion
P_2025-11-15_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-15,79,81,portion
P_2025-11-15_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-15,59,58,portion
P_2025-11-15_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-15,45,47,portion
P_2025-11-15_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-15,204,200,portion
P_2025-11-15_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-15,147,107,portion
P_2025-11-15_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-15,69,70,portion
P_2025-11-15_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-15,83,80,portion
P_2025-11-15_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-15,37,37,portion
P_2025-11-15_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-15,38,39,portion
P_2025-11-15_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-15,83,74,portion
P_2025-11-15_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-15,52,51,portion
P_2025-11-15_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-15,36,36,portion
P_2025-11-15_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-15,270,270,portion
P_2025-11-16_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-16,64,62,portion
P_2025-11-16_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-16,42,41,portion
P_2025-11-16_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-16,69,69,portion
P_2025-11-16_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-16,51,51,portion
P_2025-11-16_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-16,39,39,portion
P_2025-11-16_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-16,173,174,portion
P_2025-11-16_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-16,129,120,portion
P_2025-11-16_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-16,60,60,portion
P_2025-11-16_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-16,72,67,portion
P_2025-11-16_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-16,31,32,portion
P_2025-11-16_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-16,33,33,portion
P_2025-11-16_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-16,84,66,portion
P_2025-11-16_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-16,45,44,portion
P_2025-11-16_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-16,31,32,portion
P_2025-11-16_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-16,252,252,portion
P_2025-11-17_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-17,36,36,portion
P_2025-11-17_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-17,27,26,portion
P_2025-11-17_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-17,53,51,portion
P_2025-11-17_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-17,32,31,portion
P_2025-11-17_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-17,25,25,portion
P_2025-11-17_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-17,114,93,portion
P_2025-11-17_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-17,81,88,portion
P_2025-11-17_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-17,38,39,portion
P_2025-11-17_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-17,46,47,portion
P_2025-11-17_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-17,15,15,portion
P_2025-11-17_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-17,21,21,portion
P_2025-11-17_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-17,65,57,portion
P_2025-11-17_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-17,29,28,portion
P_2025-11-17_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-17,19,18,portion
P_2025-11-17_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-17,167,167,portion
P_2025-11-18_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-18,38,39,portion
P_2025-11-18_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-18,37,36,portion
P_2025-11-18_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-18,45,46,portion
P_2025-11-18_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-18,34,34,portion
P_2025-11-18_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-18,26,26,portion
P_2025-11-18_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-18,117,99,portion
P_2025-11-18_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-18,84,76,portion
P_2025-11-18_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-18,40,41,portion
P_2025-11-18_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-18,47,45,portion
P_2025-11-18_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-18,16,16,portion
P_2025-11-18_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-18,22,22,portion
P_2025-11-18_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-18,64,54,portion
P_2025-11-18_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-18,30,30,portion
P_2025-11-18_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-18,20,20,portion
P_2025-11-18_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-18,158,158,portion
P_2025-11-19_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-19,41,43,portion
P_2025-11-19_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-19,29,29,portion
P_2025-11-19_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-19,48,48,portion
P_2025-11-19_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-19,36,36,portion
P_2025-11-19_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-19,27,28,portion
P_2025-11-19_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-19,125,97,portion
P_2025-11-19_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-19,89,82,portion
P_2025-11-19_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-19,42,43,portion
P_2025-11-19_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-19,50,52,portion
P_2025-11-19_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-19,18,18,portion
P_2025-11-19_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-19,23,23,portion
P_2025-11-19_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-19,82,68,portion
P_2025-11-19_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-19,31,31,portion
P_2025-11-19_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-19,21,21,portion
P_2025-11-19_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-19,164,164,portion
P_2025-11-20_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-20,45,47,portion
P_2025-11-20_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-20,32,32,portion
P_2025-11-20_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-20,52,51,portion
P_2025-11-20_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-20,39,39,portion
P_2025-11-20_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-20,30,30,portion
P_2025-11-20_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-20,136,138,portion
P_2025-11-20_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-20,97,73,portion
P_2025-11-20_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-20,46,48,portion
P_2025-11-20_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-20,55,54,portion
P_2025-11-20_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-20,20,20,portion
P_2025-11-20_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-20,25,25,portion
P_2025-11-20_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-20,65,49,portion
P_2025-11-20_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-20,34,34,portion
P_2025-11-20_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-20,22,22,portion
P_2025-11-20_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-20,188,188,portion
P_2025-11-21_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-21,79,77,portion
P_2025-11-21_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-21,42,43,portion
P_2025-11-21_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-21,68,67,portion
P_2025-11-21_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-21,51,50,portion
P_2025-11-21_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-21,39,40,portion
P_2025-11-21_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-21,177,191,portion
P_2025-11-21_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-21,127,145,portion
P_2025-11-21_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-21,60,58,portion
P_2025-11-21_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-21,72,76,portion
P_2025-11-21_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-21,33,32,portion
P_2025-11-21_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-21,33,32,portion
P_2025-11-21_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-21,71,63,portion
P_2025-11-21_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-21,45,43,portion
P_2025-11-21_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-21,31,29,portion
P_2025-11-21_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-21,255,255,portion
P_2025-11-22_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-22,72,71,portion
P_2025-11-22_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-22,46,45,portion
P_2025-11-22_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-22,76,76,portion
P_2025-11-22_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-22,56,56,portion
P_2025-11-22_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-22,43,44,portion
P_2025-11-22_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-22,196,180,portion
P_2025-11-22_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-22,141,134,portion
P_2025-11-22_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-22,66,66,portion
P_2025-11-22_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-22,80,80,portion
P_2025-11-22_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-22,35,35,portion
P_2025-11-22_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-22,37,36,portion
P_2025-11-22_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-22,80,69,portion
P_2025-11-22_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-22,50,49,portion
P_2025-11-22_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-22,35,33,portion
P_2025-11-22_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-22,269,269,portion
P_2025-11-23_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-23,57,57,portion
P_2025-11-23_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-23,37,36,portion
P_2025-11-23_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-23,61,63,portion
P_2025-11-23_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-23,46,46,portion
P_2025-11-23_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-23,35,35,portion
P_2025-11-23_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-23,154,141,portion
P_2025-11-23_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-23,114,107,portion
P_2025-11-23_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-23,54,54,portion
P_2025-11-23_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-23,64,65,portion
P_2025-11-23_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-23,28,27,portion
P_2025-11-23_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-23,29,30,portion
P_2025-11-23_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-23,75,54,portion
P_2025-11-23_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-23,40,41,portion
P_2025-11-23_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-23,27,26,portion
P_2025-11-23_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-23,215,215,portion
P_2025-11-24_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-24,37,37,portion
P_2025-11-24_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-24,27,27,portion
P_2025-11-24_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-24,54,52,portion
P_2025-11-24_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-24,33,33,portion
P_2025-11-24_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-24,25,24,portion
