recipe_id,product_id,yield_qty,yield_uom,ingredient_product_id,qty,uom,standard_yield_pct
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_CHICKEN,0.23399999999999999,kg,1.0
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_RICE,0.156,kg,1.0
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_ONION,0.078,kg,0.92
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_TOMATO,0.052000000000000005,kg,0.97
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_CURD,0.039,kg,1.0
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_GINGER,0.005200000000000001,kg,0.9
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_GARLIC,0.005200000000000001,kg,0.87
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_GCHILLI,0.006500000000000001,kg,0.94
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_MINT,0.005200000000000001,kg,0.86
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_CORIANDER,0.006500000000000001,kg,0.86
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_GHEE,0.015600000000000001,kg,1.0
R_DSH_CHBIRYANI,DSH_CHBIRYANI,1,portion,ING_CASHEW,0.0078000000000000005,kg,1.0
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_RICE,0.156,kg,1.0
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_CARROT,0.039,kg,0.88
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_BEANS,0.0325,kg,0.9
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_PEAS,0.026000000000000002,kg,1.0
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_CAULI,0.039,kg,0.58
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_POTATO,0.052000000000000005,kg,0.87
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_ONION,0.065,kg,0.92
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_TOMATO,0.045500000000000006,kg,0.97
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_CURD,0.0325,kg,1.0
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_MINT,0.005200000000000001,kg,0.86
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_CORIANDER,0.006500000000000001,kg,0.86
R_DSH_VGBIRYANI,DSH_VGBIRYANI,1,portion,ING_GHEE,0.013000000000000001,kg,1.0
R_DSH_PBM,DSH_PBM,1,portion,ING_PANEER,0.14300000000000002,kg,1.0
R_DSH_PBM,DSH_PBM,1,portion,ING_TOMATO,0.13,kg,0.97
R_DSH_PBM,DSH_PBM,1,portion,ING_ONION,0.052000000000000005,kg,0.92
R_DSH_PBM,DSH_PBM,1,portion,ING_BUTTER,0.0195,kg,1.0
R_DSH_PBM,DSH_PBM,1,portion,ING_CREAM,0.026000000000000002,kg,1.0
R_DSH_PBM,DSH_PBM,1,portion,ING_CASHEW,0.010400000000000001,kg,1.0
R_DSH_PBM,DSH_PBM,1,portion,ING_GINGER,0.0039000000000000003,kg,0.9
R_DSH_PBM,DSH_PBM,1,portion,ING_GARLIC,0.0039000000000000003,kg,0.87
R_DSH_GOBIMANCH,DSH_GOBIMANCH,1,portion,ING_CAULI,0.20800000000000002,kg,0.58
R_DSH_GOBIMANCH,DSH_GOBIMANCH,1,portion,ING_CAPSICUM,0.026000000000000002,kg,0.83
R_DSH_GOBIMANCH,DSH_GOBIMANCH,1,portion,ING_ONION,0.0325,kg,0.92
R_DSH_GOBIMANCH,DSH_GOBIMANCH,1,portion,ING_GARLIC,0.005200000000000001,kg,0.87
R_DSH_GOBIMANCH,DSH_GOBIMANCH,1,portion,ING_GCHILLI,0.005200000000000001,kg,0.94
R_DSH_GOBIMANCH,DSH_GOBIMANCH,1,portion,ING_BESAN,0.026000000000000002,kg,1.0
R_DSH_GOBIMANCH,DSH_GOBIMANCH,1,portion,ING_OIL,0.0325,kg,1.0
R_DSH_GOBIMANCH,DSH_GOBIMANCH,1,portion,ING_CORIANDER,0.0039000000000000003,kg,0.86
R_DSH_PALAK,DSH_PALAK,1,portion,ING_SPINACH,0.18200000000000002,kg,0.8
R_DSH_PALAK,DSH_PALAK,1,portion,ING_PANEER,0.09100000000000001,kg,1.0
R_DSH_PALAK,DSH_PALAK,1,portion,ING_ONION,0.039,kg,0.92
R_DSH_PALAK,DSH_PALAK,1,portion,ING_TOMATO,0.039,kg,0.97
R_DSH_PALAK,DSH_PALAK,1,portion,ING_GARLIC,0.0039000000000000003,kg,0.87
R_DSH_PALAK,DSH_PALAK,1,portion,ING_GINGER,0.0039000000000000003,kg,0.9
R_DSH_PALAK,DSH_PALAK,1,portion,ING_CREAM,0.013000000000000001,kg,1.0
R_DSH_PALAK,DSH_PALAK,1,portion,ING_BUTTER,0.010400000000000001,kg,1.0
R_DSH_NAAN,DSH_NAAN,1,portion,ING_ATTA,0.09100000000000001,kg,1.0
R_DSH_NAAN,DSH_NAAN,1,portion,ING_BUTTER,0.0078000000000000005,kg,1.0
R_DSH_NAAN,DSH_NAAN,1,portion,ING_MILK,0.013000000000000001,kg,1.0
R_DSH_NAAN,DSH_NAAN,1,portion,ING_CURD,0.010400000000000001,kg,1.0
R_DSH_ROTI,DSH_ROTI,1,portion,ING_ATTA,0.078,kg,1.0
R_DSH_JEERARICE,DSH_JEERARICE,1,portion,ING_RICE,0.14300000000000002,kg,1.0
R_DSH_JEERARICE,DSH_JEERARICE,1,portion,ING_GHEE,0.010400000000000001,kg,1.0
R_DSH_JEERARICE,DSH_JEERARICE,1,portion,ING_ONION,0.013000000000000001,kg,0.92
R_DSH_DALTADKA,DSH_DALTADKA,1,portion,ING_TOORDAL,0.078,kg,1.0
R_DSH_DALTADKA,DSH_DALTADKA,1,portion,ING_TOMATO,0.026000000000000002,kg,0.97
R_DSH_DALTADKA,DSH_DALTADKA,1,portion,ING_ONION,0.026000000000000002,kg,0.92
R_DSH_DALTADKA,DSH_DALTADKA,1,portion,ING_GARLIC,0.0039000000000000003,kg,0.87
R_DSH_DALTADKA,DSH_DALTADKA,1,portion,ING_GHEE,0.010400000000000001,kg,1.0
R_DSH_DALTADKA,DSH_DALTADKA,1,portion,ING_CURRYLEAF,0.0026000000000000003,kg,0.9
R_DSH_DALTADKA,DSH_DALTADKA,1,portion,ING_GCHILLI,0.0039000000000000003,kg,0.94
R_DSH_DALTADKA,DSH_DALTADKA,1,portion,ING_CORIANDER,0.0039000000000000003,kg,0.86
R_DSH_ROGANJOSH,DSH_ROGANJOSH,1,portion,ING_MUTTON,0.26,kg,1.0
R_DSH_ROGANJOSH,DSH_ROGANJOSH,1,portion,ING_ONION,0.09100000000000001,kg,0.92
R_DSH_ROGANJOSH,DSH_ROGANJOSH,1,portion,ING_TOMATO,0.052000000000000005,kg,0.97
R_DSH_ROGANJOSH,DSH_ROGANJOSH,1,portion,ING_CURD,0.039,kg,1.0
R_DSH_ROGANJOSH,DSH_ROGANJOSH,1,portion,ING_GINGER,0.006500000000000001,kg,0.9
R_DSH_ROGANJOSH,DSH_ROGANJOSH,1,portion,ING_GARLIC,0.006500000000000001,kg,0.87
R_DSH_ROGANJOSH,DSH_ROGANJOSH,1,portion,ING_GHEE,0.0195,kg,1.0
