sale_id,site_id,product_id,business_date,qty,revenue,channel
S_2025-11-15_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-15,69,18975.0,dine_in
S_2025-11-15_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-15,43,9030.0,dine_in
S_2025-11-15_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-15,65,15275.0,dine_in
S_2025-11-15_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-15,46,8280.0,dine_in
S_2025-11-15_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-15,46,10120.0,dine_in
S_2025-11-15_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-15,200,9600.0,dine_in
S_2025-11-15_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-15,107,2996.0,dine_in
S_2025-11-15_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-15,49,6370.0,dine_in
S_2025-11-15_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-15,53,7685.0,dine_in
S_2025-11-15_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-15,28,10780.0,dine_in
S_2025-11-15_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-15,31,5270.0,dine_in
S_2025-11-15_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-15,74,7770.0,dine_in
S_2025-11-15_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-15,51,9435.0,dine_in
S_2025-11-15_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-15,30,8700.0,dine_in
S_2025-11-15_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-15,270,0.0,dine_in
S_2025-11-16_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-16,62,17050.0,dine_in
S_2025-11-16_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-16,41,8610.0,dine_in
S_2025-11-16_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-16,61,14335.0,dine_in
S_2025-11-16_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-16,44,7920.0,dine_in
S_2025-11-16_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-16,39,8580.0,dine_in
S_2025-11-16_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-16,174,8352.0,dine_in
S_2025-11-16_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-16,120,3360.0,dine_in
S_2025-11-16_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-16,55,7150.0,dine_in
S_2025-11-16_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-16,67,9715.0,dine_in
S_2025-11-16_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-16,22,8470.0,dine_in
S_2025-11-16_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-16,25,4250.0,dine_in
S_2025-11-16_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-16,66,6930.0,dine_in
S_2025-11-16_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-16,33,6105.0,dine_in
S_2025-11-16_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-16,23,6670.0,dine_in
S_2025-11-16_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-16,252,0.0,dine_in
S_2025-11-17_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-17,36,9900.0,dine_in
S_2025-11-17_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-17,22,4620.0,dine_in
S_2025-11-17_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-17,49,11515.0,dine_in
S_2025-11-17_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-17,31,5580.0,dine_in
S_2025-11-17_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-17,25,5500.0,dine_in
S_2025-11-17_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-17,93,4464.0,dine_in
S_2025-11-17_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-17,88,2464.0,dine_in
S_2025-11-17_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-17,33,4290.0,dine_in
S_2025-11-17_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-17,47,6815.0,dine_in
S_2025-11-17_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-17,15,5775.0,dine_in
S_2025-11-17_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-17,13,2210.0,dine_in
S_2025-11-17_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-17,57,5985.0,dine_in
S_2025-11-17_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-17,27,4995.0,dine_in
S_2025-11-17_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-17,15,4350.0,dine_in
